case_id,slide_id,label
normal_001,normal_001,normal_tissue
normal_002,normal_002,normal_tissue
normal_003,normal_003,normal_tissue
normal_004,normal_004,normal_tissue
normal_005,normal_005,normal_tissue
normal_006,normal_006,normal_tissue
normal_007,normal_007,normal_tissue
normal_008,normal_008,normal_tissue
normal_009,normal_009,normal_tissue
normal_010,normal_010,normal_tissue
normal_011,normal_011,normal_tissue
normal_012,normal_012,normal_tissue
normal_013,normal_013,normal_tissue
normal_014,normal_014,normal_tissue
normal_015,normal_015,normal_tissue
normal_016,normal_016,normal_tissue
normal_017,normal_017,normal_tissue
normal_018,normal_018,normal_tissue
normal_019,normal_019,normal_tissue
normal_020,normal_020,normal_tissue
normal_021,normal_021,normal_tissue
normal_022,normal_022,normal_tissue
normal_023,normal_023,normal_tissue
normal_024,normal_024,normal_tissue
normal_025,normal_025,normal_tissue
normal_026,normal_026,normal_tissue
normal_027,normal_027,normal_tissue
normal_028,normal_028,normal_tissue
normal_029,normal_029,normal_tissue
normal_030,normal_030,normal_tissue
normal_031,normal_031,normal_tissue
normal_032,normal_032,normal_tissue
normal_033,normal_033,normal_tissue
normal_034,normal_034,normal_tissue
normal_035,normal_035,normal_tissue
normal_036,normal_036,normal_tissue
normal_037,normal_037,normal_tissue
normal_038,normal_038,normal_tissue
normal_039,normal_039,normal_tissue
normal_040,normal_040,normal_tissue
normal_041,normal_041,normal_tissue
normal_042,normal_042,normal_tissue
normal_043,normal_043,normal_tissue
normal_044,normal_044,normal_tissue
normal_045,normal_045,normal_tissue
normal_046,normal_046,normal_tissue
normal_047,normal_047,normal_tissue
normal_048,normal_048,normal_tissue
normal_049,normal_049,normal_tissue
normal_050,normal_050,normal_tissue
normal_051,normal_051,normal_tissue
normal_052,normal_052,normal_tissue
normal_053,normal_053,normal_tissue
normal_054,normal_054,normal_tissue
normal_055,normal_055,normal_tissue
normal_056,normal_056,normal_tissue
normal_057,normal_057,normal_tissue
normal_058,normal_058,normal_tissue
normal_059,normal_059,normal_tissue
normal_060,normal_060,normal_tissue
normal_061,normal_061,normal_tissue
normal_062,normal_062,normal_tissue
normal_063,normal_063,normal_tissue
normal_064,normal_064,normal_tissue
normal_065,normal_065,normal_tissue
normal_066,normal_066,normal_tissue
normal_067,normal_067,normal_tissue
normal_068,normal_068,normal_tissue
normal_069,normal_069,normal_tissue
normal_070,normal_070,normal_tissue
normal_071,normal_071,normal_tissue
normal_072,normal_072,normal_tissue
normal_073,normal_073,normal_tissue
normal_074,normal_074,normal_tissue
normal_075,normal_075,normal_tissue
normal_076,normal_076,normal_tissue
normal_077,normal_077,normal_tissue
normal_078,normal_078,normal_tissue
normal_079,normal_079,normal_tissue
normal_080,normal_080,normal_tissue
normal_081,normal_081,normal_tissue
normal_082,normal_082,normal_tissue
normal_083,normal_083,normal_tissue
normal_084,normal_084,normal_tissue
normal_085,normal_085,normal_tissue
normal_087,normal_087,normal_tissue
normal_088,normal_088,normal_tissue
normal_089,normal_089,normal_tissue
normal_090,normal_090,normal_tissue
normal_091,normal_091,normal_tissue
normal_092,normal_092,normal_tissue
normal_093,normal_093,normal_tissue
normal_094,normal_094,normal_tissue
normal_095,normal_095,normal_tissue
normal_096,normal_096,normal_tissue
normal_097,normal_097,normal_tissue
normal_098,normal_098,normal_tissue
normal_099,normal_099,normal_tissue
normal_100,normal_100,normal_tissue
normal_101,normal_101,normal_tissue
normal_102,normal_102,normal_tissue
normal_103,normal_103,normal_tissue
normal_104,normal_104,normal_tissue
normal_105,normal_105,normal_tissue
normal_106,normal_106,normal_tissue
normal_107,normal_107,normal_tissue
normal_108,normal_108,normal_tissue
normal_109,normal_109,normal_tissue
normal_110,normal_110,normal_tissue
normal_111,normal_111,normal_tissue
normal_112,normal_112,normal_tissue
normal_113,normal_113,normal_tissue
normal_114,normal_114,normal_tissue
normal_115,normal_115,normal_tissue
normal_116,normal_116,normal_tissue
normal_117,normal_117,normal_tissue
normal_118,normal_118,normal_tissue
normal_119,normal_119,normal_tissue
normal_120,normal_120,normal_tissue
normal_121,normal_121,normal_tissue
normal_122,normal_122,normal_tissue
normal_123,normal_123,normal_tissue
normal_124,normal_124,normal_tissue
normal_125,normal_125,normal_tissue
normal_126,normal_126,normal_tissue
normal_127,normal_127,normal_tissue
normal_128,normal_128,normal_tissue
normal_129,normal_129,normal_tissue
normal_130,normal_130,normal_tissue
normal_131,normal_131,normal_tissue
normal_132,normal_132,normal_tissue
normal_133,normal_133,normal_tissue
normal_134,normal_134,normal_tissue
normal_135,normal_135,normal_tissue
normal_136,normal_136,normal_tissue
normal_137,normal_137,normal_tissue
normal_138,normal_138,normal_tissue
normal_139,normal_139,normal_tissue
normal_140,normal_140,normal_tissue
normal_141,normal_141,normal_tissue
normal_142,normal_142,normal_tissue
normal_143,normal_143,normal_tissue
normal_144,normal_144,normal_tissue
normal_145,normal_145,normal_tissue
normal_146,normal_146,normal_tissue
normal_147,normal_147,normal_tissue
normal_148,normal_148,normal_tissue
normal_149,normal_149,normal_tissue
normal_150,normal_150,normal_tissue
normal_151,normal_151,normal_tissue
normal_152,normal_152,normal_tissue
normal_153,normal_153,normal_tissue
normal_154,normal_154,normal_tissue
normal_155,normal_155,normal_tissue
normal_156,normal_156,normal_tissue
normal_157,normal_157,normal_tissue
normal_158,normal_158,normal_tissue
normal_159,normal_159,normal_tissue
normal_160,normal_160,normal_tissue
tumor_001,tumor_001,tumor_tissue
tumor_002,tumor_002,tumor_tissue
tumor_003,tumor_003,tumor_tissue
tumor_004,tumor_004,tumor_tissue
tumor_005,tumor_005,tumor_tissue
tumor_006,tumor_006,tumor_tissue
tumor_007,tumor_007,tumor_tissue
tumor_008,tumor_008,tumor_tissue
tumor_009,tumor_009,tumor_tissue
tumor_010,tumor_010,tumor_tissue
tumor_011,tumor_011,tumor_tissue
tumor_012,tumor_012,tumor_tissue
tumor_013,tumor_013,tumor_tissue
tumor_014,tumor_014,tumor_tissue
tumor_015,tumor_015,tumor_tissue
tumor_016,tumor_016,tumor_tissue
tumor_017,tumor_017,tumor_tissue
tumor_018,tumor_018,tumor_tissue
tumor_019,tumor_019,tumor_tissue
tumor_020,tumor_020,tumor_tissue
tumor_021,tumor_021,tumor_tissue
tumor_022,tumor_022,tumor_tissue
tumor_023,tumor_023,tumor_tissue
tumor_024,tumor_024,tumor_tissue
tumor_025,tumor_025,tumor_tissue
tumor_026,tumor_026,tumor_tissue
tumor_027,tumor_027,tumor_tissue
tumor_028,tumor_028,tumor_tissue
tumor_029,tumor_029,tumor_tissue
tumor_030,tumor_030,tumor_tissue
tumor_031,tumor_031,tumor_tissue
tumor_032,tumor_032,tumor_tissue
tumor_033,tumor_033,tumor_tissue
tumor_034,tumor_034,tumor_tissue
tumor_035,tumor_035,tumor_tissue
tumor_036,tumor_036,tumor_tissue
tumor_037,tumor_037,tumor_tissue
tumor_038,tumor_038,tumor_tissue
tumor_039,tumor_039,tumor_tissue
tumor_040,tumor_040,tumor_tissue
tumor_041,tumor_041,tumor_tissue
tumor_042,tumor_042,tumor_tissue
tumor_043,tumor_043,tumor_tissue
tumor_044,tumor_044,tumor_tissue
tumor_045,tumor_045,tumor_tissue
tumor_046,tumor_046,tumor_tissue
tumor_047,tumor_047,tumor_tissue
tumor_048,tumor_048,tumor_tissue
tumor_049,tumor_049,tumor_tissue
tumor_050,tumor_050,tumor_tissue
tumor_051,tumor_051,tumor_tissue
tumor_052,tumor_052,tumor_tissue
tumor_053,tumor_053,tumor_tissue
tumor_054,tumor_054,tumor_tissue
tumor_055,tumor_055,tumor_tissue
tumor_056,tumor_056,tumor_tissue
tumor_057,tumor_057,tumor_tissue
tumor_058,tumor_058,tumor_tissue
tumor_059,tumor_059,tumor_tissue
tumor_060,tumor_060,tumor_tissue
tumor_061,tumor_061,tumor_tissue
tumor_062,tumor_062,tumor_tissue
tumor_063,tumor_063,tumor_tissue
tumor_064,tumor_064,tumor_tissue
tumor_065,tumor_065,tumor_tissue
tumor_066,tumor_066,tumor_tissue
tumor_067,tumor_067,tumor_tissue
tumor_068,tumor_068,tumor_tissue
tumor_069,tumor_069,tumor_tissue
tumor_070,tumor_070,tumor_tissue
tumor_071,tumor_071,tumor_tissue
tumor_072,tumor_072,tumor_tissue
tumor_073,tumor_073,tumor_tissue
tumor_074,tumor_074,tumor_tissue
tumor_075,tumor_075,tumor_tissue
tumor_076,tumor_076,tumor_tissue
tumor_077,tumor_077,tumor_tissue
tumor_078,tumor_078,tumor_tissue
tumor_079,tumor_079,tumor_tissue
tumor_080,tumor_080,tumor_tissue
tumor_081,tumor_081,tumor_tissue
tumor_082,tumor_082,tumor_tissue
tumor_083,tumor_083,tumor_tissue
tumor_084,tumor_084,tumor_tissue
tumor_085,tumor_085,tumor_tissue
tumor_086,tumor_086,tumor_tissue
tumor_087,tumor_087,tumor_tissue
tumor_088,tumor_088,tumor_tissue
tumor_089,tumor_089,tumor_tissue
tumor_090,tumor_090,tumor_tissue
tumor_091,tumor_091,tumor_tissue
tumor_092,tumor_092,tumor_tissue
tumor_093,tumor_093,tumor_tissue
tumor_094,tumor_094,tumor_tissue
tumor_095,tumor_095,tumor_tissue
tumor_096,tumor_096,tumor_tissue
tumor_097,tumor_097,tumor_tissue
tumor_098,tumor_098,tumor_tissue
tumor_099,tumor_099,tumor_tissue
tumor_100,tumor_100,tumor_tissue
tumor_101,tumor_101,tumor_tissue
tumor_102,tumor_102,tumor_tissue
tumor_103,tumor_103,tumor_tissue
tumor_104,tumor_104,tumor_tissue
tumor_105,tumor_105,tumor_tissue
tumor_106,tumor_106,tumor_tissue
tumor_107,tumor_107,tumor_tissue
tumor_108,tumor_108,tumor_tissue
tumor_109,tumor_109,tumor_tissue
tumor_110,tumor_110,tumor_tissue
tumor_111,tumor_111,tumor_tissue
test_001,test_001,tumor_tissue
test_002,test_002,tumor_tissue
test_003,test_003,normal_tissue
test_004,test_004,tumor_tissue
test_005,test_005,normal_tissue
test_006,test_006,normal_tissue
test_007,test_007,normal_tissue
test_008,test_008,tumor_tissue
test_009,test_009,normal_tissue
test_010,test_010,tumor_tissue
test_011,test_011,tumor_tissue
test_012,test_012,normal_tissue
test_013,test_013,tumor_tissue
test_014,test_014,normal_tissue
test_015,test_015,normal_tissue
test_016,test_016,tumor_tissue
test_017,test_017,normal_tissue
test_018,test_018,normal_tissue
test_019,test_019,normal_tissue
test_020,test_020,normal_tissue
test_021,test_021,tumor_tissue
test_022,test_022,normal_tissue
test_023,test_023,normal_tissue
test_024,test_024,normal_tissue
test_025,test_025,normal_tissue
test_026,test_026,tumor_tissue
test_027,test_027,tumor_tissue
test_028,test_028,normal_tissue
test_029,test_029,tumor_tissue
test_030,test_030,tumor_tissue
test_031,test_031,normal_tissue
test_032,test_032,normal_tissue
test_033,test_033,tumor_tissue
test_034,test_034,normal_tissue
test_035,test_035,normal_tissue
test_036,test_036,normal_tissue
test_037,test_037,normal_tissue
test_038,test_038,tumor_tissue
test_039,test_039,normal_tissue
test_040,test_040,tumor_tissue
test_041,test_041,normal_tissue
test_042,test_042,normal_tissue
test_043,test_043,normal_tissue
test_044,test_044,normal_tissue
test_045,test_045,normal_tissue
test_046,test_046,tumor_tissue
test_047,test_047,normal_tissue
test_048,test_048,tumor_tissue
test_050,test_050,normal_tissue
test_051,test_051,tumor_tissue
test_052,test_052,tumor_tissue
test_053,test_053,normal_tissue
test_054,test_054,normal_tissue
test_055,test_055,normal_tissue
test_056,test_056,normal_tissue
test_057,test_057,normal_tissue
test_058,test_058,normal_tissue
test_059,test_059,normal_tissue
test_060,test_060,normal_tissue
test_061,test_061,tumor_tissue
test_062,test_062,normal_tissue
test_063,test_063,normal_tissue
test_064,test_064,tumor_tissue
test_065,test_065,tumor_tissue
test_066,test_066,tumor_tissue
test_067,test_067,normal_tissue
test_068,test_068,tumor_tissue
test_069,test_069,tumor_tissue
test_070,test_070,normal_tissue
test_071,test_071,tumor_tissue
test_072,test_072,normal_tissue
test_073,test_073,tumor_tissue
test_074,test_074,tumor_tissue
test_075,test_075,tumor_tissue
test_076,test_076,normal_tissue
test_077,test_077,normal_tissue
test_078,test_078,normal_tissue
test_079,test_079,tumor_tissue
test_080,test_080,normal_tissue
test_081,test_081,normal_tissue
test_082,test_082,tumor_tissue
test_083,test_083,normal_tissue
test_084,test_084,tumor_tissue
test_085,test_085,normal_tissue
test_086,test_086,normal_tissue
test_087,test_087,normal_tissue
test_088,test_088,normal_tissue
test_089,test_089,normal_tissue
test_090,test_090,tumor_tissue
test_091,test_091,normal_tissue
test_092,test_092,tumor_tissue
test_093,test_093,normal_tissue
test_094,test_094,tumor_tissue
test_095,test_095,normal_tissue
test_096,test_096,normal_tissue
test_097,test_097,tumor_tissue
test_098,test_098,normal_tissue
test_099,test_099,tumor_tissue
test_100,test_100,normal_tissue
test_101,test_101,normal_tissue
test_102,test_102,tumor_tissue
test_103,test_103,normal_tissue
test_104,test_104,tumor_tissue
test_105,test_105,tumor_tissue
test_106,test_106,normal_tissue
test_107,test_107,normal_tissue
test_108,test_108,tumor_tissue
test_109,test_109,normal_tissue
test_110,test_110,tumor_tissue
test_111,test_111,normal_tissue
test_112,test_112,normal_tissue
test_113,test_113,tumor_tissue
test_114,test_114,tumor_tissue
test_115,test_115,normal_tissue
test_116,test_116,tumor_tissue
test_117,test_117,tumor_tissue
test_118,test_118,normal_tissue
test_119,test_119,normal_tissue
test_120,test_120,normal_tissue
test_121,test_121,tumor_tissue
test_122,test_122,tumor_tissue
test_123,test_123,normal_tissue
test_124,test_124,normal_tissue
test_125,test_125,normal_tissue
test_126,test_126,normal_tissue
test_127,test_127,normal_tissue
test_128,test_128,normal_tissue
test_129,test_129,normal_tissue
test_130,test_130,normal_tissue
